black_range,opening_cat,winner,percent
"(0, 1200]",A,black,17.454545454545453
"(0, 1200]",A,draw,5.090909090909091
"(0, 1200]",A,white,77.45454545454545
"(0, 1200]",B,black,18.80597014925373
"(0, 1200]",B,draw,2.985074626865672
"(0, 1200]",B,white,78.2089552238806
"(0, 1200]",C,black,22.544283413848632
"(0, 1200]",C,draw,3.7037037037037037
"(0, 1200]",C,white,73.75201288244766
"(0, 1200]",D,black,27.692307692307693
"(0, 1200]",D,draw,2.3076923076923075
"(0, 1200]",D,white,70.0
"(0, 1200]",E,black,40.0
"(0, 1200]",E,draw,0.0
"(0, 1200]",E,white,60.0
"(1200, 1400]",A,black,31.57894736842105
"(1200, 1400]",A,draw,2.6315789473684212
"(1200, 1400]",A,white,65.78947368421052
"(1200, 1400]",B,black,29.02033271719039
"(1200, 1400]",B,draw,2.957486136783734
"(1200, 1400]",B,white,68.02218114602587
"(1200, 1400]",C,black,29.78927203065134
"(1200, 1400]",C,draw,3.4482758620689653
"(1200, 1400]",C,white,66.7624521072797
"(1200, 1400]",D,black,27.075812274368232
"(1200, 1400]",D,draw,3.6101083032490973
"(1200, 1400]",D,white,69.31407942238268
"(1200, 1400]",E,black,36.36363636363637
"(1200, 1400]",E,draw,0.0
"(1200, 1400]",E,white,63.63636363636363
"(1400, 1600]",A,black,35.53113553113553
"(1400, 1600]",A,draw,6.410256410256411
"(1400, 1600]",A,white,58.05860805860806
"(1400, 1600]",B,black,33.097595473833096
"(1400, 1600]",B,draw,4.384724186704385
"(1400, 1600]",B,white,62.517680339462515
"(1400, 1600]",C,black,33.568075117370896
"(1400, 1600]",C,draw,4.068857589984351
"(1400, 1600]",C,white,62.36306729264476
"(1400, 1600]",D,black,34.157303370786515
"(1400, 1600]",D,draw,3.146067415730337
"(1400, 1600]",D,white,62.69662921348315
"(1400, 1600]",E,black,35.416666666666664
"(1400, 1600]",E,draw,0.0
"(1400, 1600]",E,white,64.58333333333333
"(1600, 1800]",A,black,33.70165745856354
"(1600, 1800]",A,draw,6.906077348066298
"(1600, 1800]",A,white,59.392265193370164
"(1600, 1800]",B,black,37.01298701298701
"(1600, 1800]",B,draw,5.411255411255412
"(1600, 1800]",B,white,57.57575757575758
"(1600, 1800]",C,black,35.17665130568356
"(1600, 1800]",C,draw,4.608294930875576
"(1600, 1800]",C,white,60.215053763440864
"(1600, 1800]",D,black,32.121212121212125
"(1600, 1800]",D,draw,4.242424242424242
"(1600, 1800]",D,white,63.63636363636363
"(1600, 1800]",E,black,27.397260273972602
"(1600, 1800]",E,draw,8.219178082191782
"(1600, 1800]",E,white,64.38356164383562
"(1800, 2000]",A,black,36.39575971731449
"(1800, 2000]",A,draw,6.713780918727915
"(1800, 2000]",A,white,56.890459363957596
"(1800, 2000]",B,black,34.51327433628319
"(1800, 2000]",B,draw,6.1946902654867255
"(1800, 2000]",B,white,59.29203539823009
"(1800, 2000]",C,black,31.677018633540374
"(1800, 2000]",C,draw,4.658385093167702
"(1800, 2000]",C,white,63.66459627329193
"(1800, 2000]",D,black,34.319526627218934
"(1800, 2000]",D,draw,8.875739644970414
"(1800, 2000]",D,white,56.80473372781065
"(1800, 2000]",E,black,44.285714285714285
"(1800, 2000]",E,draw,0.0
"(1800, 2000]",E,white,55.714285714285715
"(2000, 2200]",A,black,28.94736842105263
"(2000, 2200]",A,draw,1.3157894736842106
"(2000, 2200]",A,white,69.73684210526316
"(2000, 2200]",B,black,33.07086614173228
"(2000, 2200]",B,draw,7.086614173228346
"(2000, 2200]",B,white,59.84251968503937
"(2000, 2200]",C,black,33.333333333333336
"(2000, 2200]",C,draw,10.714285714285714
"(2000, 2200]",C,white,55.95238095238095
"(2000, 2200]",D,black,17.307692307692307
"(2000, 2200]",D,draw,21.153846153846153
"(2000, 2200]",D,white,61.53846153846154
"(2000, 2200]",E,black,33.333333333333336
"(2000, 2200]",E,draw,13.333333333333334
"(2000, 2200]",E,white,53.333333333333336
"(2200, 2400]",A,black,14.285714285714286
"(2200, 2400]",A,draw,14.285714285714286
"(2200, 2400]",A,white,71.42857142857143
"(2200, 2400]",B,black,47.61904761904762
"(2200, 2400]",B,draw,9.523809523809524
"(2200, 2400]",B,white,42.857142857142854
"(2200, 2400]",C,black,23.076923076923077
"(2200, 2400]",C,draw,15.384615384615385
"(2200, 2400]",C,white,61.53846153846154
"(2200, 2400]",D,black,50.0
"(2200, 2400]",D,draw,12.5
"(2200, 2400]",D,white,37.5
"(2200, 2400]",E,black,0.0
"(2200, 2400]",E,draw,0.0
"(2200, 2400]",E,white,100.0
"(2400, 2600]",A,black,100.0
"(2400, 2600]",A,draw,0.0
"(2400, 2600]",A,white,0.0
"(2400, 2600]",B,black,0.0
"(2400, 2600]",B,draw,0.0
"(2400, 2600]",B,white,0.0
"(2400, 2600]",C,black,100.0
"(2400, 2600]",C,draw,0.0
"(2400, 2600]",C,white,0.0
"(2400, 2600]",D,black,0.0
"(2400, 2600]",D,draw,0.0
"(2400, 2600]",D,white,0.0
"(2400, 2600]",E,black,0.0
"(2400, 2600]",E,draw,0.0
"(2400, 2600]",E,white,0.0
