white_range,opening_cat,winner,percent
"(0, 1200]",A,black,69.88304093567251
"(0, 1200]",A,draw,3.508771929824561
"(0, 1200]",A,white,26.608187134502923
"(0, 1200]",B,black,67.6923076923077
"(0, 1200]",B,draw,3.8461538461538463
"(0, 1200]",B,white,28.46153846153846
"(0, 1200]",C,black,64.20454545454545
"(0, 1200]",C,draw,3.409090909090909
"(0, 1200]",C,white,32.38636363636363
"(0, 1200]",D,black,76.92307692307692
"(0, 1200]",D,draw,3.2051282051282053
"(0, 1200]",D,white,19.871794871794872
"(0, 1200]",E,black,100.0
"(0, 1200]",E,draw,0.0
"(0, 1200]",E,white,0.0
"(1200, 1400]",A,black,66.08695652173913
"(1200, 1400]",A,draw,4.3478260869565215
"(1200, 1400]",A,white,29.565217391304348
"(1200, 1400]",B,black,63.26923076923077
"(1200, 1400]",B,draw,4.230769230769231
"(1200, 1400]",B,white,32.5
"(1200, 1400]",C,black,60.57385759829968
"(1200, 1400]",C,draw,2.975557917109458
"(1200, 1400]",C,white,36.45058448459086
"(1200, 1400]",D,black,65.70397111913357
"(1200, 1400]",D,draw,5.776173285198556
"(1200, 1400]",D,white,28.51985559566787
"(1200, 1400]",E,black,66.66666666666667
"(1200, 1400]",E,draw,0.0
"(1200, 1400]",E,white,33.333333333333336
"(1400, 1600]",A,black,61.224489795918366
"(1400, 1600]",A,draw,4.452690166975882
"(1400, 1600]",A,white,34.32282003710575
"(1400, 1600]",B,black,56.92695214105793
"(1400, 1600]",B,draw,6.045340050377834
"(1400, 1600]",B,white,37.02770780856423
"(1400, 1600]",C,black,56.021409455843
"(1400, 1600]",C,draw,5.44157002676182
"(1400, 1600]",C,white,38.537020517395185
"(1400, 1600]",D,black,55.714285714285715
"(1400, 1600]",D,draw,4.285714285714286
"(1400, 1600]",D,white,40.0
"(1400, 1600]",E,black,59.183673469387756
"(1400, 1600]",E,draw,6.122448979591836
"(1400, 1600]",E,white,34.69387755102041
"(1600, 1800]",A,black,60.94276094276094
"(1600, 1800]",A,draw,3.7037037037037037
"(1600, 1800]",A,white,35.35353535353536
"(1600, 1800]",B,black,59.11504424778761
"(1600, 1800]",B,draw,4.070796460176991
"(1600, 1800]",B,white,36.8141592920354
"(1600, 1800]",C,black,55.40765391014975
"(1600, 1800]",C,draw,4.658901830282862
"(1600, 1800]",C,white,39.93344425956739
"(1600, 1800]",D,black,54.6875
"(1600, 1800]",D,draw,3.125
"(1600, 1800]",D,white,42.1875
"(1600, 1800]",E,black,49.27536231884058
"(1600, 1800]",E,draw,8.695652173913043
"(1600, 1800]",E,white,42.028985507246375
"(1800, 2000]",A,black,55.833333333333336
"(1800, 2000]",A,draw,7.916666666666667
"(1800, 2000]",A,white,36.25
"(1800, 2000]",B,black,57.824933687002655
"(1800, 2000]",B,draw,6.10079575596817
"(1800, 2000]",B,white,36.07427055702918
"(1800, 2000]",C,black,60.984848484848484
"(1800, 2000]",C,draw,5.681818181818182
"(1800, 2000]",C,white,33.333333333333336
"(1800, 2000]",D,black,64.05228758169935
"(1800, 2000]",D,draw,6.5359477124183005
"(1800, 2000]",D,white,29.41176470588235
"(1800, 2000]",E,black,55.223880597014926
"(1800, 2000]",E,draw,8.955223880597014
"(1800, 2000]",E,white,35.82089552238806
"(2000, 2200]",A,black,54.411764705882355
"(2000, 2200]",A,draw,11.764705882352942
"(2000, 2200]",A,white,33.8235294117647
"(2000, 2200]",B,black,60.714285714285715
"(2000, 2200]",B,draw,5.357142857142857
"(2000, 2200]",B,white,33.92857142857143
"(2000, 2200]",C,black,58.666666666666664
"(2000, 2200]",C,draw,4.0
"(2000, 2200]",C,white,37.333333333333336
"(2000, 2200]",D,black,61.702127659574465
"(2000, 2200]",D,draw,10.638297872340425
"(2000, 2200]",D,white,27.659574468085108
"(2000, 2200]",E,black,60.60606060606061
"(2000, 2200]",E,draw,9.090909090909092
"(2000, 2200]",E,white,30.303030303030305
"(2200, 2400]",A,black,52.63157894736842
"(2200, 2400]",A,draw,15.789473684210526
"(2200, 2400]",A,white,31.57894736842105
"(2200, 2400]",B,black,33.333333333333336
"(2200, 2400]",B,draw,29.166666666666668
"(2200, 2400]",B,white,37.5
"(2200, 2400]",C,black,58.333333333333336
"(2200, 2400]",C,draw,12.5
"(2200, 2400]",C,white,29.166666666666668
"(2200, 2400]",D,black,70.0
"(2200, 2400]",D,draw,10.0
"(2200, 2400]",D,white,20.0
"(2200, 2400]",E,black,100.0
"(2200, 2400]",E,draw,0.0
"(2200, 2400]",E,white,0.0
"(2400, 2600]",A,black,0.0
"(2400, 2600]",A,draw,0.0
"(2400, 2600]",A,white,0.0
"(2400, 2600]",B,black,0.0
"(2400, 2600]",B,draw,0.0
"(2400, 2600]",B,white,0.0
"(2400, 2600]",C,black,0.0
"(2400, 2600]",C,draw,0.0
"(2400, 2600]",C,white,0.0
"(2400, 2600]",D,black,0.0
"(2400, 2600]",D,draw,0.0
"(2400, 2600]",D,white,0.0
"(2400, 2600]",E,black,0.0
"(2400, 2600]",E,draw,100.0
"(2400, 2600]",E,white,0.0
